,ISO3,Country,CDD,Year_ref,Year_past,GDP_past,GDP,gdp_historical_growth,CDD_ssp1_rcp26_2100,CDD_ssp2_rcp45_2100,CDD_ssp5_rcp60_2100,exposure_times_cdd,ac_adoption,income_group,gdp_const_ssp1_rcp26,gdp_const_ssp2_rcp45,gdp_const_ssp5_rcp60
35,CAF,Central African Republic,3003.84314,2019,1990,1200.61339024031,861.766788755873,-0.011369465805149415,3082.0,3761.0,4007.0,2980.2550599438955,0.007852633761729844,low,0.013840686446762174,0.032159435628121624,0.03434963551309056
36,TCD,Chad,3748.54714,2019,1990,1027.24442257679,1561.99667256928,0.014556131166957309,4108.0,4595.0,4976.0,3681.06438396715,0.01800237625739176,low,0.01703981807513255,0.023566472184975096,0.026338175061245472
37,CHL,Chile,175.72575,2019,1990,9701.82379080639,24809.8609735994,0.03290663500243607,106.0,190.0,241.0,134.71700193515008,0.2333678932361929,high,,0.002241458635594329,0.006609059633387204
38,COL,Colombia,1429.38555,2019,1990,8434.95933574977,14616.1351241706,0.019137408971884096,1874.0,2185.0,2252.0,1115.8875127171773,0.21932363684719125,upper middle,0.006310849784607386,0.008370796446151907,0.008708559423223461
39,COM,Comoros,2996.85716,2019,1990,2922.71225211885,3290.65052676586,0.004097102514684092,2580.0,2909.0,3119.0,2866.02878247582,0.043655192936916554,lower middle,,,0.006002345440539791
40,CRI,Costa Rica,1304.31538,2019,1990,9810.55130671056,20818.061678299,0.026282996861516583,2417.0,2878.0,3065.0,891.0715993316765,0.3168281130506362,upper middle,0.007486190180441499,0.008544323234912499,0.00887001715736524
41,CIV,Cote d'Ivoire,3121.59607,2019,1990,4351.47678203302,5132.34156942981,0.0057074923588851245,3554.0,4067.0,4280.0,2880.705367564019,0.07716908178833692,lower middle,0.008845274196622954,0.013245730101057784,0.014435788845988062
42,HRV,Croatia,521.68235,2019,1995,15083.558943419,29347.5161917663,0.028121592509674054,772.0,1077.0,1117.0,331.2018940976779,0.3651272769767314,high,0.004848452564541805,0.007095490735468779,0.0072854030799167635
43,CUB,Cuba,2940.76454,2019,1990,,,,3161.0,3534.0,3684.0,,,upper middle,,,
44,CUW,Curacao/Netherlands Antilles,3232.31097,2019,2000,28613.9000650843,23659.2347332019,-0.009957414552160926,,,,1797.8526643767832,0.4437872218783506,high,,,
45,CYP,Cyprus,1570.97282,2019,1990,25232.609375,41739.46484375,0.017506995788090896,1660.0,1881.0,2007.0,583.6699091735196,0.6284659405033375,high,0.00036272389331881705,0.001091187542906713,0.0014247058553911174
46,CZE,Czech Republic,247.12542,2019,1990,23585.1814938054,40989.7266228223,0.019241495776139983,389.0,524.0,620.0,140.8066503050256,0.4302219079484999,high,0.004382033676171293,0.006009823363546163,0.006692858919238542
47,PRK,Democratic People's Republic of Korea,532.02947,2019,1990,,,,632.0,807.0,907.0,,,low,,,
48,COD,Democratic Republic of the Congo,2184.36589,2019,1990,1750.16973868902,1059.89211136718,-0.01714598327980532,2589.0,3266.0,3506.0,2163.9572056125385,0.009343070444787882,low,0.028044461025646727,0.03555062918849061,0.036916016389495265
49,DNK,Denmark,62.27477,2019,1990,39027.9787365148,56813.9641554635,0.013032584827722182,126.0,207.0,287.0,35.10747426285307,0.436248832988816,high,0.005693678511383915,0.007448024500881667,0.008152440999704691
50,DJI,Djibouti,3816.20573,2019,2013,3664.26803619943,4768.11300470727,0.04486428412866439,4081.0,4573.0,4828.0,3531.842289077573,0.07451470414369599,lower middle,0.005779954764120632,0.011045621079790013,0.012732026223660542
51,DMA,Dominica,2916.25068,2019,1990,7855.8210423106,12395.4204702077,0.015850945198033317,,,,2279.121942355713,0.21847529844186342,upper middle,,,
52,DOM,Dominican Republic,2698.51589,2019,1990,6207.11211279231,18171.0609627655,0.037733617687016,2765.0,3118.0,3346.0,1817.2709298327477,0.32656652622758964,upper middle,0.0005018449253104684,0.0025701958401778136,0.0035476805069840633
53,ECU,Ecuador,1383.03963,2019,1990,8120.00116107894,11390.2169659569,0.011738169239754681,2776.0,2561.0,2608.0,1158.03119997747,0.16269123829989607,upper middle,0.013344045996777743,0.012637693030632224,0.012805033565396862
54,EGY,Egypt,2169.35584,2019,1990,6291.70540537498,11780.9620965028,0.021865014051010823,2193.0,2562.0,2847.0,1755.5642928988973,0.19074397084671124,lower middle,0.0004461918893059469,0.005079438383946755,0.007144390234635534
55,SLV,El Salvador,3111.70808,2019,1990,5191.97145510929,9023.0265751173,0.019240212363084153,2927.0,3454.0,3534.0,2634.2924671372966,0.15342557868175843,upper middle,,0.004357368003256701,0.005070513543664612
56,GNQ,Equatorial Guinea,2531.12831,2019,1990,936.419750712983,16240.3698101562,0.10338851798872883,2733.0,3212.0,3407.0,1809.69880395067,0.285022890068078,upper middle,0.001751412627065907,0.004461054401680542,0.0052326646685516565
57,ERI,Eritrea,2530.40784,2019,1990,,,,2630.0,3205.0,3481.0,,,low,,,
58,EST,Estonia,59.12205,2019,1995,12730.7174142214,36153.4319482746,0.044449293580959504,171.0,278.0,331.0,43.17094924110667,0.26979952080303937,high,0.01117555632688938,0.012719314908662849,0.013090536983514145
59,ETH,Ethiopia,988.72931,2019,1990,767.170418557348,2181.65887703263,0.03669630738675922,1146.0,1814.0,1982.0,970.1732426710727,0.018767591029467234,low,0.020526387402655555,0.03216584912044662,0.03321392279463442
60,FRO,Faeroe Islands,0.0,2019,1990,,,,,,,,,high,,,
61,FJI,Fiji,2627.50087,2019,1990,7889.87858590517,13241.3539504487,0.018014267380145776,2302.0,2662.0,2885.0,2025.0829466310167,0.22927410995261943,upper middle,,0.00042976761525159723,0.002667751746990188
62,FIN,Finland,47.37731,2019,1990,32939.3832880618,48583.4339897935,0.013490657869530631,119.0,189.0,241.0,30.75773848902335,0.35079179275853045,high,0.008348744140366904,0.00987462284991536,0.01039885007919028
63,FRA,France,308.48687,2019,1990,33843.0203949502,45922.7947390313,0.010580715945510688,467.0,661.0,791.0,153.8949665000895,0.5011296056130703,high,0.0033068597604732908,0.00493958889658086,0.005548951098893085
64,PYF,French Polynesia,2827.62285,2019,1990,,,,1669.0,1944.0,2020.0,,,high,,,
65,GAB,Gabon,2767.9213,2019,1990,17559.0061141964,14478.0017220931,-0.006630904515670388,3216.0,3727.0,3928.0,2057.0480634486808,0.2568256678942855,upper middle,0.0034885305935279387,0.005806898931536075,0.006471856756010919
66,GMB,Gambia,3237.72329,2019,1990,2080.15808488147,2083.3090583462,5.219549477319951e-05,3861.0,4258.0,4424.0,3156.944127889628,0.024949371788461905,low,0.01948900785543617,0.023068549527248905,0.02413344311143617
67,GEO,Georgia,436.60517,2019,1990,11135.4628892798,14989.2581602038,0.010300932762076664,523.0,877.0,1056.0,364.4230752408049,0.16532579025391536,upper middle,0.00612036556865414,0.013214944443334042,0.014543844368713144
68,DEU,Germany,213.08829,2019,1990,36699.4817033163,53874.3166510099,0.01332563399251474,336.0,484.0,612.0,98.93423437737835,0.5357124768452628,high,0.003176317907842119,0.0046533768937508935,0.005315561603085106
69,GHA,Ghana,3433.25176,2019,1990,2299.63879373958,5345.94159228145,0.02951638162913528,3851.0,4333.0,4581.0,3147.0064401294476,0.08337440417435404,lower middle,0.007730648554659769,0.011828199278733464,0.013220038768946507
70,GRC,Greece,947.01236,2019,1990,24262.8425808592,29721.5857620428,0.00702203995147177,1045.0,1300.0,1376.0,546.3739804586984,0.4230550692509457,high,0.0012962403123841781,0.003458954952442861,0.003907305838704911
71,GRL,Greenland,0.00023,2019,1990,,,,0.0,,0.0,,,high,,,
72,GRD,Grenada,3171.355,2019,1990,8571.96740286013,15394.0304271941,0.020394229954595167,,,,2269.8847024319134,0.28425398530536206,upper middle,,,
73,GUM,Guam,3399.24969,2019,1990,,,,,,,,,high,,,
74,GTM,Guatemala,1350.35619,2019,1990,5561.07068412655,8673.00201631063,0.015443006355923883,1698.0,2273.0,2306.0,1192.991537043106,0.11653566231061885,upper middle,0.009388091383848884,0.014375324485376595,0.014548407236422145
75,GIN,Guinea,3036.38941,2019,1990,1507.19852172471,2545.1402015108,0.01823084776178896,3232.0,3794.0,4036.0,2940.3761888937934,0.03162085231558187,lower middle,0.010171447400860512,0.019312402992614164,0.021249560676033452
76,GNB,Guinea-Bissau,3557.95151,2019,1990,1998.17320635701,1890.53310322385,-0.0019076440552734386,3738.0,4156.0,4389.0,3477.3796217329736,0.0226455835726177,low,0.010879136679162515,0.019319248275714296,0.021761909750391162
77,GUY,Guyana,3068.10472,2019,1990,4818.38799518684,12820.4897019679,0.034320829053880786,3569.0,4028.0,4367.0,2362.4399710591633,0.23000021620540922,high,0.0039391271212785295,0.006063988370684337,0.007190459075400613
78,HTI,Haiti,2759.37184,2019,1990,3612.81510511417,3112.29594285407,-0.005129096784696974,2967.0,3324.0,3563.0,2649.7504285115,0.039726944335454095,lower middle,0.009627467890481967,0.016023864535123833,0.018418469678673555
79,HND,Honduras,2230.23759,2019,1990,3912.70204526407,5613.66058791544,0.01252519908201144,2406.0,2886.0,2950.0,2055.2132945117064,0.07847786992429517,lower middle,0.006068034282030288,0.012943846166127981,0.013486706630585044
80,HKG,Hong Kong (China),2274.48656,2019,1990,28797.7030873198,59592.0344814547,0.025393835412524712,2608.0,3005.0,3110.0,395.3678571569071,0.826172700199685,high,0.0003357714188199079,0.0006306338080477314,0.0006948428393458439
81,HUN,Hungary,475.55314,2019,1991,16426.9405835293,32645.6637288361,0.024831481087231433,735.0,941.0,990.0,286.27200337518326,0.39802310342187364,high,0.0047017311284245356,0.006239088927613379,0.006497249514139769
82,ISL,Iceland,0.0,2019,1995,33666.1804992579,56584.1686827215,0.02187053998927757,0.0,0.0,1.0,0.0,0.0,high,,,
83,IND,India,3005.54795,2019,1990,1819.02159651277,6617.12986868393,0.045536088126231666,3478.0,3984.0,4115.0,2691.512283365276,0.1044853290844101,lower middle,0.007659365440950916,0.011369581945847695,0.012042932147808605
84,IDN,Indonesia,2912.33378,2019,1990,4519.72279421074,11857.7891170417,0.0338190940430918,3517.0,3929.0,4138.0,2307.7875525222908,0.20758136709100328,upper middle,0.005148970296501965,0.007077366046310818,0.007824486802431752
85,IRQ,Iraq,2913.10609,2019,1990,7449.47165519372,10299.3162890193,0.011232770883830456,3029.0,3505.0,3778.0,2399.6748394561273,0.17624873062685908,upper middle,0.0016407611747693007,0.005889060193843054,0.007412212950246966
86,IRL,Ireland,4.23573,2019,1990,26781.6276093907,86925.9065817976,0.041433293055659126,28.0,59.0,93.0,2.6950086606018018,0.3637439920387273,high,0.010457422908899172,0.011016799943089683,0.011057338589076426
87,IRN,Islamic Republic of Iran,1354.99549,2019,1990,9442.24811639528,14084.3535121898,0.013884136197312325,1505.0,1880.0,2090.0,1074.084715224161,0.2073149149565353,lower middle,0.00326815022373661,0.007499958629904491,0.008867396775336767
88,IMN,Isle of Man,0.0,2019,1990,,,,,,,,,high,,,
89,ISR,Israel,1537.09814,2019,1995,26891.425122526,41151.0067396475,0.017884755764003835,1651.0,2044.0,2270.0,585.0858100813252,0.6193568941009029,high,0.00048127695204147614,0.0016709023932677258,0.002146537751647415
90,ITA,Italy,681.71964,2019,1990,36585.6799028741,42739.0499116836,0.005374949203398538,799.0,1101.0,1166.0,306.5063469610532,0.550392376899904,high,0.0012847394859782924,0.003145762690628384,0.0034047981132014904
91,JAM,Jamaica,3097.91909,2019,1990,8692.50223491895,10244.3661921245,0.0056804547605158184,2797.0,3119.0,3348.0,2546.3987705306545,0.17802928464130585,upper middle,,0.00030542190757043564,0.002968975036099275
92,JPN,Japan,879.84362,2019,1990,32846.3896070232,41654.3279152693,0.00822548775539822,1066.0,1197.0,1402.0,382.41666134321474,0.5653583743174557,high,0.0014416074331480289,0.0021405008596446784,0.002938143986676689
93,JOR,Jordan,1481.92829,2019,1990,8127.6265386227,9534.6609493486,0.0055208647203743855,1579.0,1984.0,2196.0,1283.2659374036643,0.13405665708449077,lower middle,0.0033110883046392203,0.009795488306505007,0.01152762919306416
94,KAZ,Kazakhstan,543.91172,2019,1990,13475.6398976651,26351.8044418782,0.02339544922200365,595.0,904.0,986.0,364.5647474182499,0.3297354441668403,upper middle,0.001681227165400534,0.0064183508728694605,0.0070507884717301295
95,KEN,Kenya,1471.73062,2019,1990,3655.36205689276,4601.21137258037,0.007966894507559497,1420.0,2021.0,2190.0,1391.6725981926734,0.05439719791066566,lower middle,,0.01736064025894679,0.01902524033629094
96,KIR,Kiribati,3543.26065,2019,1990,2045.27227844342,1963.53488352412,-0.0014053757834251446,,,,3459.137102887253,0.02374184555481318,lower middle,,,
97,KOR,Korea,755.0332,2019,1990,12656.3960621654,42758.5903686092,0.04287316848200917,940.0,1105.0,1287.0,331.1618785055619,0.561394282389752,high,0.001637450590547207,0.0025618477850244403,0.0032741082155092194
98,XKX,Kosovo,371.80004,2019,2008,7032.45229722004,11318.462250308,0.04421312660947341,,,,329.807760393312,0.11294318205745235,upper middle,,,
99,KWT,Kuwait,3462.88263,2019,1992,41446.9637511501,47314.7968373973,0.004916060966189573,3903.0,4355.0,4696.0,797.7202065479795,0.7696369493909242,high,0.0004129167540702916,0.0007433705940311786,0.0009473227604337442
100,KGZ,Kyrgyzstan,252.31133,2019,1990,5158.31756938857,5258.36669631142,0.0006626329145367205,221.0,455.0,543.0,242.50166652225857,0.038879203235706594,lower middle,,0.02502397118487565,0.02693992082158525
101,LAO,Lao People's Democratic Republic,2620.65878,2019,1990,1939.08623861287,7840.07138309428,0.04935268732508735,2876.0,3496.0,3703.0,2296.5019708305517,0.12369287128996187,lower middle,0.00483566778405109,0.010288294456544111,0.011362574582767015
102,LVA,Latvia,104.04162,2019,1995,9599.14600512054,31038.6792668747,0.05011358412832312,221.0,360.0,409.0,76.7238264390898,0.26256601503235144,high,0.009817641641004071,0.012095846472001348,0.012500609170565502
103,LBN,Lebanon,1056.62027,2019,1990,5855.80521329743,17185.0470183692,0.03782206537874089,1050.0,1345.0,1544.0,799.0097986523404,0.24380610391627222,lower middle,,0.005275989297856665,0.007143463807121719
104,LSO,Lesotho,229.16774,2019,1990,1265.91890955313,2452.02766699795,0.023058979772033084,242.0,402.0,519.0,225.90041164595254,0.014257366041343644,lower middle,0.014905918411221908,0.03421504895750149,0.037099371744868215
105,LBR,Liberia,2922.18878,2019,2000,1725.14489392022,1455.63764867217,-0.008900521760791147,3204.0,3708.0,3896.0,2877.48994698567,0.015296353651159333,low,0.018431413196664304,0.026383333322043567,0.027986877231668705
106,LBY,Libya,1725.61074,2019,1999,26668.4443358796,22535.4456198617,-0.008384233407065733,1949.0,2317.0,2464.0,1091.239173111723,0.36762147579602866,upper middle,0.0019083524607494962,0.00391981812278841,0.004499279123834077
107,LTU,Lithuania,150.80232,2019,1995,10640.3600314613,37184.4536013211,0.05351780152665708,258.0,417.0,460.0,98.19240538306897,0.3488667456636677,high,0.006259517130356329,0.008784535186643128,0.009139627397470873
108,LUX,Luxembourg,165.42047,2019,1990,70860.8191239509,114542.496933956,0.0166974647952447,334.0,505.0,637.0,24.956314552283004,0.8491340609038107,high,0.0010498071516502616,0.0013051402882116037,0.0013656356398017433
109,MDG,Madagascar,1609.82872,2019,1990,1808.74353873908,1585.47165110942,-0.004532816052504773,1511.0,2028.0,2117.0,1586.7220547688162,0.014353492979789717,low,,0.026710026743927306,0.02816720861247246
110,MWI,Malawi,1529.49885,2019,1990,936.986299651878,1517.70316939192,0.016769564886886412,1848.0,2513.0,2809.0,1509.050880233676,0.013369065145961923,low,0.025656235963670726,0.0338367184406414,0.03546345703582365
111,MYS,Malaysia,3342.81154,2019,1990,10607.7680731014,27674.3974895709,0.03361901022731417,3306.0,3818.0,3986.0,1617.892935752782,0.5160083311927355,upper middle,,0.001233316777944804,0.0015801693773855874
112,MDV,Maldives,3514.0788,2019,1995,10430.7886458859,20574.4044296743,0.028707932196708752,,,,2127.78824281556,0.39449614993962,upper middle,,,
113,MLI,Mali,3969.02617,2019,1990,1336.57190539601,2219.04674252443,0.017635411604186357,4323.0,4902.0,5286.0,3855.180685991935,0.028683480312770238,low,0.012909688480990944,0.019732262223493002,0.022175600350848645
114,MLT,Malta,1101.27582,2019,1990,16127.8315252544,45881.4902544427,0.03671001594709722,,,,401.710282990358,0.6352319049460671,high,,,
115,MHL,Marshall Islands,3422.92911,2019,1990,3426.44047645492,5647.16480543959,0.01737794741734655,,,,3117.7792563992853,0.08914875061514638,upper middle,,,
116,MRT,Mauritania,3721.76061,2019,1990,4611.94118707035,5505.64633125718,0.006126460153105917,4479.0,4998.0,5274.0,3392.596602400851,0.08844308973412152,lower middle,0.010009674752864184,0.012908610395115705,0.01401207170779073
117,MUS,Mauritius,2376.85923,2019,1990,8233.91191179834,23676.4135788934,0.037092696623525434,2263.0,2616.0,2775.0,1389.8587743816283,0.41525406433866585,upper middle,,0.001300640166689293,0.0019875471114350063
118,MEX,Mexico,1233.20239,2019,1990,15218.3084360329,20064.5004997154,0.00957844118197615,1269.0,1595.0,1856.0,862.6739013404666,0.3004604042808685,upper middle,0.0006549230850247945,0.004462838793360957,0.006150272704527948
119,FSM,Micronesia (Federated States of),3428.10057,2019,1990,2925.35863300248,3540.84378746852,0.006606137800392098,,,,3257.486798539404,0.04976918499815075,lower middle,,,
120,MNG,Mongolia,121.57768,2019,1990,5030.07325208107,12458.0184257633,0.031767597498466804,167.0,305.0,357.0,110.25106639593807,0.09316359387728024,lower middle,0.012986859903097336,0.019964883416765833,0.020915887470557726
121,MNE,Montenegro,384.05217,2019,1997,12579.285087423,21533.963774298,0.02473644590428048,389.0,625.0,662.0,290.78405304788845,0.2428527274096942,upper middle,0.0003933415796586459,0.008322805692576374,0.008857822569963814
122,MAR,Morocco,897.2608,2019,1990,4119.8720703125,8217.5986328125,0.024094517632962775,1141.0,1480.0,1591.0,809.8441175733573,0.09742616909893176,lower middle,0.01090135302910733,0.015621144286381172,0.016513488154980438
123,MOZ,Mozambique,2251.88349,2019,1990,460.123696680511,1285.18275959651,0.03605407640082814,2551.0,3101.0,3418.0,2224.677549386947,0.01208141572770871,low,0.023004132691091916,0.03112627536624113,0.03337572170263803
124,MMR,Myanmar,3027.15466,2019,1990,581.613311207808,4829.53670703209,0.07571940905911245,3353.0,3920.0,4094.0,2812.4574997640716,0.07092374997316075,lower middle,0.008054878802388865,0.013744222779198179,0.014810220369488203
125,NAM,Namibia,2077.20185,2019,1990,6223.45299390074,10009.578071046,0.01652181210744197,1737.0,2384.0,2624.0,1753.818478994083,0.15568220825815116,upper middle,,0.005308919317853933,0.007649064548010731
126,NRU,Nauru,3505.35762,2019,2004,5342.33055126122,10529.8131940478,0.04627535113473469,,,,2839.5673218235993,0.1899350566623217,high,,,
127,NPL,Nepal,1619.24067,2019,1990,1554.6020430045,3922.08133124638,0.0324250411926752,2109.0,2530.0,2694.0,1545.2404695743246,0.0457005569318335,lower middle,0.01748032105126973,0.021440862698634655,0.02243010420118363
128,NLD,Netherlands,134.09884,2019,1990,36461.4190196424,56784.0372529824,0.015393154166584377,200.0,289.0,394.0,65.46309108788574,0.5118295498463241,high,0.0031131029665316667,0.0048079967686822656,0.005754669279318891
129,NCL,New Caledonia,1547.36375,2019,1990,,,,1805.0,2036.0,2351.0,,,high,,,
130,NZL,New Zealand,155.26919,2019,1990,27998.3977677454,43272.5669090792,0.015126071783313266,166.0,297.0,355.0,91.70599042484672,0.40937419442423373,high,0.0009531792816201978,0.00586055118920048,0.006715206630073078
131,NIC,Nicaragua,3015.66863,2019,1990,3409.79425137619,5398.09441484394,0.01596731079538305,3202.0,3605.0,3779.0,2770.288754973162,0.08136831500178388,lower middle,0.004941176140534909,0.010354477744888735,0.01180894248338027
132,NER,Niger,3954.08747,2019,1990,1077.91146474223,1217.44598648234,0.004206403936683367,4443.0,5022.0,5406.0,3901.5941259260867,0.013275716450934616,low,0.021595936159230833,0.027734657953384145,0.030035706474979662
133,NGA,Nigeria,3251.74999,2019,1990,3259.58117509029,5076.36829020617,0.015393043020967223,3721.0,4279.0,4545.0,3001.351331276636,0.07700427754083394,lower middle,0.009073912022208752,0.013509452890854368,0.014857500117393396
134,MNP,Northern Mariana Islands,3404.45195,2019,1990,,,,,,,,,high,,,
